Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
09550_P053_T01_(1)_S018_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,5563,12.5664,8,54,114,61,425.497,460.419,123,417.427,5479.28,7.20426e+06,4.59676e+09,361.327,375.067,12,0.938677,47.7895,11.0275,75.3976,67.9093,1.20231
09912_P057_T01_(1)_S006_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5637,12.5664,7,45,95,51,491.626,479.366,139.041,23.0991,5554.55,399182,2.2225e+08,307.235,347.747,11,0.941095,58.3263,4.22058,73.5436,63.5167,1.09715
09988_P048_T01_(3)_S010_-_TL.R_R0919_WYT_20230818_WYT.eswc,6003,12.5664,10,53,114,62,468.69,378.628,211,311.222,5919.81,5.78437e+06,8.39374e+08,267.688,308.604,12,0.962705,51.6491,3.48412,67.6112,55.6792,1.07599
10218_P041_T01_(2)_S011_-_TL.R_R0919_OMZ_20230727_WYT.v3draw.eswc,3232,12.5664,9,37,81,45,430.092,431.93,136,2.09459,3173.57,20904.4,12214,352.921,401.245,15,0.96509,38.8889,1.00469,74.6382,66.9196,1.11838
10237_P057_T01_(1)_S011_-_TL.L_R0919_OMZ_20231019_WYT.v3draw.eswc,1802,12.5664,5,13,29,17,335.435,313.379,138,367.554,1773.5,2.04523e+06,2.98751e+08,251.381,301.935,6,0.961048,61.1034,4.0839,82.4628,62.4663,1.10426
10350_P057_T01_(1)_S002_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5270,12.5664,9,46,99,54,274.011,587.867,130,42.0188,5159.17,673402,4.01069e+08,381.628,415.29,13,0.931002,52.2222,7.31777,74.3309,61.3812,1.12349
10790_P040_T01_-_S005_1dAFTsur_MTG.L_R0919_OMZ_20230712_YW.swc.eswc,9533,12.5664,8,52,110,59,589.079,653.441,132.876,1.99979,9407.33,59108,29554,433.129,480.371,13,0.941641,85.6545,1,59.8666,47.4604,1.13119
12507_P061_T01_(1)_S022_-_MFG.R_R0919_OMZ_20240115_WYT.ano.eswc.attachment.eswc,4597,12.5664,7,49,103,55,314.298,369.438,239,1725.7,4522.72,2.4521e+07,1.62502e+10,229.715,243.525,12,0.947949,43.6214,45.5658,65.4079,57.6265,1.09779
12514_P061_T01_(1)_S029_-_MFG.R_R0613_OMZ_20240115_WYT.ano.eswc.attachment.eswc,7209,12.5664,6,54,112,59,571.615,424.063,174,2064.36,7089.78,4.60294e+07,3.06585e+10,338.542,387.712,13,0.946961,63.3571,37.5074,68.0812,54.4087,1.13926
12555_P061_T01_(1)_S013_-_MFG.R_R0919_OMZ_20240115_YW.ano.eswc.attachment.eswc,4170,12.5664,11,43,95,53,307.559,298.004,95,515.12,4084.79,6.62238e+06,9.82648e+08,179.306,198.985,8,0.929142,42.8842,8.54825,65.5,52.9442,1.12968
12606_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,5764,12.5664,11,56,121,66,386.899,362.882,142,2176.94,5666.51,3.87999e+07,2.57401e+10,239.319,318.787,11,0.94652,46.6281,19.3175,65.6491,54.1895,1.11856
12607_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,5884,12.5664,10,63,134,72,289.826,369.438,160.967,1292.66,5784.28,2.35374e+07,1.53793e+10,233.496,275.919,11,0.952886,42.903,23.1458,64.19,53.1066,1.11229
12648_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,5386,12.5664,10,58,124,67,357.758,292.242,165,393.91,5283.72,6.55127e+06,9.70871e+08,203.219,242.271,8,0.947223,42.4274,7.19126,69.3523,54.4984,1.12083
12731_P057_T01_(2)_S038_-_TL.L_R0919_OMZ_20231020_WYT.ano.eswc.attachment.eswc,5662,12.5664,12,47,104,58,385.061,465.933,111.963,414.513,5586.04,7.2845e+06,1.07712e+09,251.779,276.039,9,0.954457,53.4327,9.44537,71.1087,55.7401,1.18916
12839_P061_T01_(1)_S023_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,7262,12.5664,8,60,126,67,461.338,426.416,163,2148.2,7154.39,4.8397e+07,3.2128e+10,313.403,370.011,11,0.950176,56.627,61.1347,70.7957,64.8416,1.0926
12987_P061_T01_(1)_S031_-_MFG.R_R0613_OMZ_20240115_WYT.ano.eswc.attachment.eswc,6869,12.5664,8,58,122,65,424.196,412.719,196,1382.39,6766.93,2.93543e+07,1.93614e+10,260.238,337.516,10,0.941998,55.2951,69.0294,71.6701,54.7784,1.09911
13262_P067_T01_(1)_S016_-_TL.L_R0613_OMZ_20240312_WYT.ano.eswc.attachment.eswc,4640,12.5664,11,37,83,47,554.765,484.27,113,524.497,4537.68,7.47622e+06,1.11304e+09,346.244,431.835,11,0.93554,54.8916,4.48622,73.3767,63.2304,1.14286
13417_P061_T01_(1)_S026_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,4338,12.5664,9,50,107,58,335.435,290.302,118,1253.34,4265.46,1.68675e+07,1.09179e+10,228.621,242.386,11,0.961535,39.5327,42.3045,65.0172,54.7449,1.11205
13622_P065_T01_(1)_S008_-_PL.L_OL.L_R0919_OMZ_20240229_YW.ano.eswc.attachment.eswc,7873,12.5664,12,56,122,67,348.301,340.03,221,1937.13,7762.03,4.72158e+07,3.1219e+10,250.067,297.392,7,0.94135,63.5246,29.9065,61.3402,53.6858,1.10658
